scored_at,amount,merchant_category,location,fraud_probability,is_flagged,scoring_latency_ms
2026-09-04T13:15:24.193465,522.18,grocery,UAE,0.0702,True,7.71
2026-09-04T13:15:24.209420,476.99,electronics,USA,0.0343,False,12.46
2026-09-04T13:15:24.219407,3114.87,electronics,India,0.0145,False,9.64
2026-09-04T13:15:24.227883,50.0,grocery,India,0.0211,False,5.37
2026-09-04T13:15:24.241863,2551.67,fashion,USA,0.0646,True,11.35
2026-09-04T13:15:24.248251,1539.19,travel,UK,0.0341,False,4.73
2026-09-04T13:15:24.248251,226.03,gaming,India,0.013,False,4.74
2026-09-04T13:15:24.259682,1409.4,gaming,India,0.0344,False,4.25
2026-09-04T13:15:24.264368,2613.53,grocery,UK,0.0966,True,4.48
2026-09-04T13:15:24.264368,867.37,gaming,USA,0.0283,False,4.23
2026-09-04T13:15:24.275567,1005.55,electronics,India,0.0141,False,4.25
2026-09-04T13:15:24.281366,760.35,travel,UK,0.0396,False,4.3
2026-09-04T13:15:24.281366,1782.46,grocery,UAE,0.0405,False,4.32
2026-09-04T13:32:51.475654,1500.0,electronics,India,0.0284,False,215.04
2026-09-04T13:34:28.932443,1500.0,electronics,India,0.0284,False,23.78
2026-09-04T13:36:22.636001,1500.0,electronics,India,0.0912,True,23.02
2026-09-04T13:43:38.388496,1600.0,grocery,UK,0.0948,True,124.6
2026-09-04T13:45:33.968567,1600.0,grocery,UK,0.0948,True,31.94
2026-09-04T13:53:38.728848,3217.55,gaming,India,0.0149,False,105.34
2026-09-04T13:53:38.767129,1670.33,gaming,UK,0.0875,True,27.19
2026-09-04T13:53:38.801513,4801.42,grocery,UK,0.1167,True,28.82
2026-09-04T13:53:38.831726,1125.95,grocery,UK,0.0579,True,28.98
2026-09-04T13:53:38.857061,2409.06,gaming,UK,0.0223,False,23.96
2026-09-04T13:53:38.891395,2767.64,travel,Germany,0.0933,True,24.55
2026-09-04T13:53:38.922370,3737.86,travel,USA,0.0319,False,28.03
2026-09-04T13:53:38.958350,3006.45,fashion,UK,0.0467,False,25.63
2026-09-04T13:53:38.989418,2775.83,gaming,India,0.0557,True,26.54
2026-09-04T13:53:39.018336,1396.73,travel,India,0.0181,False,25.07
2026-09-04T13:53:51.070474,237.16,grocery,UAE,0.1296,True,31.06
2026-09-04T13:53:51.110554,337.76,grocery,UAE,0.0539,True,27.01
2026-09-04T13:53:51.137093,1547.72,grocery,India,0.0239,False,21.3
2026-09-04T13:53:51.167487,2589.26,grocery,UAE,0.0449,False,25.09
2026-09-04T13:53:51.200550,1328.28,travel,UK,0.0773,True,28.76
2026-09-04T13:53:51.228007,2521.31,electronics,India,0.0244,False,24.59
2026-09-04T13:53:51.262956,1297.09,electronics,Germany,0.0307,False,25.91
2026-09-04T13:53:51.292307,2593.86,grocery,UAE,0.0768,True,28.16
2026-09-04T13:53:51.324753,695.84,gaming,India,0.0408,False,24.85
2026-09-04T13:53:51.353968,1191.87,gaming,UK,0.07,True,25.06
2026-09-04T13:54:39.927396,393.75,fashion,Germany,0.0267,False,27.3
2026-09-04T13:54:39.968541,2047.23,fashion,Germany,0.0771,True,35.13
2026-09-04T13:54:39.997250,2020.87,grocery,UK,0.0402,False,25.41
2026-09-04T13:54:40.034356,3272.98,fashion,UK,0.0237,False,28.65
2026-09-04T13:54:40.060178,3813.49,fashion,India,0.049,False,24.1
2026-09-04T13:54:40.090555,1219.28,gaming,India,0.029,False,24.41
2026-09-04T13:54:40.120976,1552.86,grocery,India,0.0484,False,24.88
2026-09-04T13:54:40.147295,811.8,grocery,India,0.023,False,24.29
2026-09-04T13:54:40.180573,3142.36,travel,India,0.0301,False,26.97
2026-09-04T13:54:40.214697,1640.57,gaming,India,0.0318,False,27.22
2026-09-04T13:54:40.242540,4467.23,gaming,USA,0.0246,False,25.87
2026-09-04T13:54:40.267463,1980.96,electronics,UAE,0.0722,True,23.66
2026-09-04T13:54:40.303512,1136.0,gaming,UAE,0.0294,False,24.81
2026-09-04T13:54:40.330429,1030.16,travel,USA,0.0377,False,24.9
2026-09-04T13:54:40.360912,1831.42,gaming,India,0.0136,False,25.12
2026-09-04T13:54:40.390396,1164.48,electronics,UK,0.1098,True,24.93
2026-09-04T13:54:40.417407,1599.58,travel,USA,0.0385,False,25.37
2026-09-04T13:54:40.451717,1146.08,fashion,Germany,0.0918,True,26.76
2026-09-04T13:54:40.481563,1029.46,grocery,UK,0.0381,False,26.52
2026-09-04T13:54:40.518584,2936.57,gaming,UAE,0.0425,False,25.82
2026-09-04T13:54:40.552180,2327.36,travel,USA,0.0732,True,28.54
2026-09-04T13:54:40.580941,279.41,grocery,Germany,0.0762,True,26.9
2026-09-04T13:54:40.616090,1927.25,electronics,USA,0.0737,True,25.68
2026-09-04T13:54:40.647098,658.69,electronics,UAE,0.04,False,25.55
2026-09-04T13:54:40.676970,1548.52,fashion,UAE,0.0917,True,26.25
2026-09-04T13:55:27.268582,3252.1,electronics,UK,0.0736,True,29.85
2026-09-04T13:55:27.304092,1899.17,electronics,USA,0.1366,True,27.12
2026-09-04T13:55:27.344185,3906.86,travel,UAE,0.1152,True,34.04
2026-09-04T13:55:27.379089,934.4,travel,UAE,0.0463,False,28.05
2026-09-04T13:55:27.410421,504.29,gaming,India,0.0155,False,30.48
2026-09-04T13:55:27.451994,3438.16,fashion,India,0.0119,False,32.81
2026-09-04T13:55:27.486928,2487.53,travel,USA,0.037,False,32.77
2026-09-04T13:55:27.533731,2128.46,electronics,Germany,0.0474,False,35.0
2026-09-04T13:55:27.563102,2620.65,grocery,USA,0.0324,False,25.58
2026-09-04T13:55:27.602518,660.13,gaming,USA,0.0262,False,32.11
2026-09-04T13:55:27.641121,143.7,grocery,Germany,0.1371,True,32.81
2026-09-04T13:55:27.679455,958.08,gaming,UK,0.0235,False,32.0
2026-09-04T13:55:27.716974,50.0,fashion,India,0.0174,False,30.21
2026-09-04T13:55:27.756895,278.15,fashion,UAE,0.0286,False,34.23
2026-09-04T13:55:27.792050,920.89,fashion,UK,0.0373,False,27.94
2026-09-04T13:55:27.827023,770.52,electronics,India,0.0434,False,29.81
2026-09-04T13:55:27.858484,3627.97,travel,India,0.0314,False,27.6
2026-09-04T13:55:27.895956,2049.14,electronics,UK,0.0481,False,31.65
2026-09-04T13:55:27.929964,1411.54,gaming,USA,0.0633,True,31.53
2026-09-04T13:55:27.968335,2378.31,electronics,Germany,0.0293,False,28.23
2026-09-04T13:55:28.007300,599.84,fashion,UK,0.0396,False,33.5
2026-09-04T13:55:28.042043,820.02,grocery,USA,0.0465,False,27.97
2026-09-04T13:55:28.071513,2049.61,electronics,USA,0.0879,True,25.96
2026-09-04T13:55:28.102440,3092.21,fashion,India,0.031,False,27.31
2026-09-04T13:55:28.136904,1547.15,fashion,UK,0.0819,True,26.65
2026-09-04T14:10:29.374653,1412.34,fashion,USA,0.0781,True,91.23
2026-09-04T14:10:29.385680,1813.85,fashion,UAE,0.0797,True,6.74
2026-09-04T14:10:29.390943,856.62,fashion,UAE,0.0441,False,6.12
2026-09-04T14:10:29.398303,707.94,grocery,UK,0.041,False,5.2
2026-09-04T14:10:29.406830,2495.54,fashion,UK,0.0547,True,5.5
2026-09-04T14:10:29.411075,1164.2,electronics,Germany,0.0479,False,7.74
2026-09-04T14:10:29.422731,1468.63,electronics,India,0.0177,False,5.87
2026-09-04T14:10:29.430695,3454.25,travel,Germany,0.0316,False,6.99
2026-09-04T14:10:29.438569,1134.0,grocery,UK,0.0614,True,5.83
2026-09-04T14:10:29.441078,3955.52,fashion,UAE,0.1222,True,5.92
