transaction_id,user_id,amount,transaction_type,merchant_category,timestamp,transaction_frequency,avg_user_amount,deviation_from_avg,transaction_gap_seconds,account_age_days,failed_attempts,device_type,location,is_foreign_transaction,unusual_amount_flag,velocity_flag,new_device_flag,location_change_flag,night_transaction_flag,is_fraud
T7987,U1130,108.12,payment,grocery,2026-05-03 14:02:31.308484,11,639.8079852886466,531.69,4431,1088,0,mobile,India,0,0,1,0,1,0,1
T3669,U1066,1924.07,withdrawal,electronics,2026-05-03 12:14:28.308484,8,2588.9905995035606,664.92,1006,64,0,web,India,0,0,0,1,0,0,0
T3912,U675,3425.84,withdrawal,gaming,2026-05-03 11:08:45.308484,5,2956.35449540916,469.49,3460,1401,0,mobile,USA,1,0,0,0,0,0,0
T10101,U641,3311.72,transfer,fashion,2026-05-03 17:56:48.308484,6,2165.454944997935,1146.27,2339,1609,2,web,UAE,1,0,0,0,0,0,0
T3752,U82,760.94,payment,grocery,2026-05-03 12:34:34.308484,3,1652.8902698999077,891.95,2042,228,3,web,UK,1,0,0,0,0,0,0
T986,U247,3039.05,withdrawal,gaming,2026-05-03 11:28:11.308484,5,1944.1535917991591,1094.9,769,1704,1,web,Germany,1,0,0,0,1,0,0
T9584,U1143,50.0,payment,grocery,2026-05-03 17:10:51.308484,9,704.5073238013298,654.51,2589,1779,1,web,Germany,1,0,1,0,0,0,0
T8738,U416,2675.26,transfer,fashion,2026-05-03 17:52:25.308484,1,1488.3543246311237,1186.91,4453,1905,1,mobile,UAE,1,0,0,1,1,0,0
T5156,U1152,386.46,withdrawal,electronics,2026-05-03 16:28:49.308484,7,728.3061001332712,341.85,332,822,2,mobile,USA,1,0,0,1,0,0,0
T10782,U484,2315.79,payment,grocery,2026-05-03 17:19:10.308484,3,2140.858452340516,174.93,3499,1986,1,mobile,India,0,0,0,1,0,0,0
T10356,U239,3317.99,payment,grocery,2026-05-03 19:35:19.308484,7,2301.53516352477,1016.45,1615,149,0,web,UK,1,0,0,0,0,0,0
T11346,U681,1840.9,withdrawal,travel,2026-05-03 22:35:48.308484,11,1213.476174411206,627.42,1565,1480,2,mobile,USA,1,0,1,0,0,0,0
T4963,U429,4247.48,transfer,gaming,2026-05-03 12:15:59.308484,10,2199.6576868264347,2047.82,1739,1650,0,web,India,0,0,1,0,1,0,0
T2860,U496,2756.04,withdrawal,fashion,2026-05-03 14:05:11.308484,11,2083.1343038724726,672.91,3723,917,1,web,UAE,1,0,1,0,0,0,0
T8557,U414,2713.03,withdrawal,grocery,2026-05-03 13:54:42.308484,11,2367.8474912959537,345.18,1390,239,1,mobile,India,0,0,1,0,0,0,0
T3867,U739,659.95,payment,electronics,2026-05-03 12:54:50.308484,2,871.7044045561507,211.75,2239,990,0,mobile,UK,1,0,0,0,0,0,0
T2180,U791,3500.93,withdrawal,travel,2026-05-03 11:05:45.308484,8,1891.66921584251,1609.26,2438,1342,2,mobile,UAE,1,0,0,1,0,0,0
T2834,U30,691.2,payment,gaming,2026-05-03 11:35:37.308484,2,680.7925371483796,10.41,1143,1850,1,web,India,0,0,0,1,0,0,0
T10448,U1195,3032.66,withdrawal,electronics,2026-05-03 16:16:06.308484,6,2517.985155095758,514.67,4785,90,0,mobile,USA,1,0,0,0,0,0,0
T11146,U456,998.25,withdrawal,electronics,2026-05-04 01:56:53.308484,7,725.8212539478496,272.43,4345,295,1,web,USA,1,0,0,0,0,1,0
T10000,U832,2830.44,withdrawal,electronics,2026-05-03 18:14:15.308484,1,2831.9789115242374,1.54,1723,1171,0,web,Germany,1,0,0,1,0,0,0
T1195,U946,1229.11,payment,electronics,2026-05-03 11:48:05.308484,8,1361.4047699696885,132.29,2845,1600,0,web,Germany,1,0,0,0,0,0,0
T7639,U1153,1005.73,payment,gaming,2026-05-03 16:42:38.308484,9,2031.0689840909104,1025.34,4826,1754,0,web,UAE,1,0,1,0,0,0,0
T2822,U496,2934.81,withdrawal,travel,2026-05-03 13:03:08.308484,5,2248.4247015036913,686.39,969,1907,0,mobile,India,0,0,0,0,0,0,0
T10963,U1093,868.02,withdrawal,gaming,2026-05-03 17:41:37.308484,7,1941.032402075433,1073.01,1535,1160,1,mobile,Germany,1,0,0,0,0,0,0
T5235,U81,354.97,transfer,grocery,2026-05-03 14:51:29.308484,8,1976.466515117959,1621.5,3770,1440,1,mobile,UK,1,0,0,0,0,0,0
T572,U85,1372.85,payment,gaming,2026-05-03 12:20:41.308484,11,1815.2062960435073,442.36,1494,574,0,web,UAE,1,0,1,1,0,0,1
T2656,U804,666.71,transfer,fashion,2026-05-03 14:24:10.308484,3,1576.0950162787015,909.39,1871,1852,1,mobile,India,0,0,0,1,1,0,0
T3506,U271,1360.57,transfer,electronics,2026-05-03 13:02:48.308484,6,1153.5769596726873,206.99,3427,131,0,web,India,0,0,0,0,0,0,0
T7742,U290,2225.51,transfer,fashion,2026-05-03 18:38:46.308484,1,2383.238594518227,157.73,3852,421,1,mobile,UK,1,0,0,0,0,0,0
T7290,U989,874.37,withdrawal,grocery,2026-05-03 20:55:31.308484,1,2486.2032583405526,1611.83,4773,374,0,mobile,UAE,1,0,0,0,1,0,0
T10401,U341,863.01,withdrawal,fashion,2026-05-03 20:51:36.308484,10,656.9841373382294,206.03,1095,1735,1,web,India,0,0,1,0,0,0,0
T10927,U387,771.03,withdrawal,grocery,2026-05-03 17:48:21.308484,11,1378.57830426611,607.55,350,699,0,web,UK,1,0,1,0,0,0,0
T11137,U1073,2428.63,withdrawal,electronics,2026-05-03 17:07:46.308484,11,2108.7079300408022,319.92,1757,1739,0,web,India,0,0,1,0,0,0,0
T256,U82,1016.52,payment,electronics,2026-05-03 12:00:32.308484,4,671.263516567449,345.26,8608,1337,2,mobile,UK,1,0,0,1,0,0,0
T3341,U1103,50.0,payment,travel,2026-05-03 15:29:34.308484,7,1337.103821850571,1287.1,75,327,3,web,UAE,1,0,0,1,0,0,0
T730,U281,999.19,payment,travel,2026-05-03 13:47:39.308484,8,1433.3829025795792,434.19,1999,1465,0,mobile,Germany,1,0,0,0,0,0,0
T6188,U848,2727.83,transfer,travel,2026-05-03 15:12:06.308484,11,1657.5013215729132,1070.33,2445,1812,4,mobile,USA,1,0,1,0,0,0,0
T2727,U940,3209.73,withdrawal,fashion,2026-05-03 12:31:17.308484,5,1685.3751811658403,1524.35,530,1098,1,mobile,UAE,1,0,0,0,0,0,0
T3523,U35,270.85,transfer,grocery,2026-05-03 12:46:47.308484,7,707.0225724226312,436.17,364,1875,0,web,USA,1,0,0,0,0,0,0
T558,U715,4545.2,payment,grocery,2026-05-03 12:58:00.308484,1,2794.6022077338826,1750.6,2985,318,3,web,UK,1,0,0,0,0,0,0
T1234,U301,3138.05,transfer,grocery,2026-05-03 10:23:03.308484,10,2621.8817514130874,516.17,1612,186,2,mobile,India,0,0,1,0,0,0,0
T8878,U729,2822.76,transfer,grocery,2026-05-03 17:55:05.308484,2,2846.675551007235,23.92,523,22,1,web,USA,1,0,0,0,0,0,0
T9373,U235,3015.61,withdrawal,gaming,2026-05-03 15:09:30.308484,8,1858.2056312002403,1157.4,416,1395,2,mobile,Germany,1,0,0,1,0,0,0
T8829,U793,2006.55,transfer,fashion,2026-05-03 15:52:58.308484,3,1513.593824088719,492.96,2788,405,2,web,India,0,0,0,0,0,0,0
T5614,U995,2112.41,transfer,electronics,2026-05-03 17:16:59.308484,3,2113.407132167892,1.0,496,530,1,mobile,India,0,0,0,0,1,0,1
T3431,U677,2331.11,payment,travel,2026-05-03 14:55:50.308484,1,2402.215625832012,71.11,3275,798,3,mobile,India,0,0,0,0,0,0,0
T7948,U879,2573.45,transfer,travel,2026-05-03 12:56:39.308484,5,1554.7979482654619,1018.65,2012,165,0,mobile,UK,1,0,0,0,0,0,0
T11075,U888,2036.65,transfer,grocery,2026-05-03 23:41:21.308484,10,2641.8139971742166,605.16,3985,441,1,web,Germany,1,0,1,0,0,0,0
T10430,U668,783.92,withdrawal,electronics,2026-05-03 13:23:55.308484,2,1223.8319833098292,439.91,730,1061,1,web,Germany,1,0,0,0,0,0,1
T4773,U1181,2937.86,payment,electronics,2026-05-03 14:22:22.308484,7,2329.8613392805964,608.0,653,1768,0,web,India,0,0,0,0,0,0,0
T11599,U527,444.53,withdrawal,electronics,2026-05-03 13:29:13.308484,10,584.5854423792533,140.06,1613,417,3,web,USA,1,0,1,1,0,0,0
T2907,U461,2302.61,withdrawal,grocery,2026-05-03 12:20:20.308484,10,2805.703527987043,503.09,4844,582,2,web,India,0,0,1,0,0,0,0
T24,U120,840.32,payment,electronics,2026-05-03 10:10:31.308484,8,1093.1227187420002,252.8,8523,1301,1,mobile,UK,1,0,0,1,0,0,0
T1690,U568,956.84,withdrawal,grocery,2026-05-03 14:15:30.308484,2,1259.1341143440027,302.29,3647,574,1,web,UAE,1,0,0,0,0,0,0
T2629,U724,2321.93,withdrawal,electronics,2026-05-03 14:44:48.308484,10,1600.2897689419342,721.64,5000,534,4,mobile,India,0,0,1,1,0,0,0
T10198,U467,1549.37,transfer,travel,2026-05-03 13:11:39.308484,8,1124.2582292205038,425.11,511,1287,1,mobile,UAE,1,0,0,0,0,0,0
T7995,U682,2311.5,transfer,gaming,2026-05-03 10:51:43.308484,1,1394.0149840664624,917.49,434,553,1,mobile,UAE,1,0,0,0,1,0,0
T3563,U619,609.58,withdrawal,fashion,2026-05-03 14:10:11.308484,9,1520.4945802285802,910.91,4227,795,0,web,Germany,1,0,1,0,0,0,0
T9288,U987,2444.01,transfer,grocery,2026-05-03 14:36:43.308484,8,2566.8042442206897,122.79,4789,1532,1,web,India,0,0,0,0,0,0,0
T2839,U797,50.0,withdrawal,electronics,2026-05-03 13:52:09.308484,8,727.3992968655423,677.4,4754,852,2,web,UK,1,0,0,0,0,0,0
T4215,U878,912.34,withdrawal,fashion,2026-05-03 15:19:51.308484,3,1588.4246796844075,676.08,2319,444,1,mobile,UAE,1,0,0,0,0,0,0
T11438,U472,608.33,payment,fashion,2026-05-03 16:50:51.308484,8,619.3868656118316,11.06,2644,1053,1,web,UAE,1,0,0,0,0,0,0
T11411,U656,79.75,withdrawal,fashion,2026-05-03 17:09:24.308484,10,2862.292229774726,2782.54,4272,1289,1,web,UK,1,0,1,0,0,0,0
T5231,U424,50.0,withdrawal,grocery,2026-05-03 15:20:45.308484,1,778.5972471888028,728.6,1946,785,0,web,Germany,1,0,0,0,0,0,0
T346,U141,220.69,transfer,travel,2026-05-03 11:13:51.308484,4,629.7382487960272,409.05,2012,73,2,mobile,UK,1,0,0,0,0,0,0
T7612,U347,526.39,withdrawal,grocery,2026-05-03 16:10:35.308484,3,760.8315660460808,234.44,1156,1691,2,web,India,0,0,0,0,0,0,0
T3142,U14,140.89,transfer,travel,2026-05-03 14:55:30.308484,9,711.7962422002131,570.91,4058,160,1,mobile,UK,1,0,1,0,0,0,0
T4067,U143,1412.8,payment,grocery,2026-05-03 13:43:24.308484,11,2118.6488941549633,705.85,2992,103,1,web,UAE,1,0,1,0,0,0,0
T9965,U376,2195.24,transfer,electronics,2026-05-03 16:48:05.308484,3,1596.77032464821,598.47,628,295,2,web,UAE,1,0,0,0,0,0,1
T9343,U457,2221.18,transfer,fashion,2026-05-03 16:25:42.308484,4,2283.108604723563,61.93,1560,1808,1,web,UAE,1,0,0,0,0,0,0
T11992,U818,2786.87,transfer,gaming,2026-05-03 16:57:25.308484,6,2501.2875498387575,285.58,951,960,1,web,Germany,1,0,0,0,0,0,0
T2717,U689,2375.9,withdrawal,gaming,2026-05-03 15:20:08.308484,2,2261.0795516189883,114.82,2972,101,2,mobile,UAE,1,0,0,0,0,0,0
T4863,U602,1653.04,transfer,travel,2026-05-03 12:42:59.308484,5,1727.744158010764,74.7,788,1755,1,mobile,UAE,1,0,0,1,1,0,0
T1212,U36,1615.49,withdrawal,gaming,2026-05-03 11:35:21.308484,10,2778.0857757866784,1162.6,4216,792,1,web,Germany,1,0,1,0,0,0,0
T4104,U546,2512.07,transfer,grocery,2026-05-03 13:14:01.308484,2,2333.873234930945,178.2,2543,1099,0,mobile,Germany,1,0,0,1,0,0,0
T11864,U559,1933.81,transfer,gaming,2026-05-03 18:23:30.308484,3,1427.2444547529658,506.57,2387,1240,1,web,UAE,1,0,0,1,0,0,0
T3848,U500,1992.93,payment,gaming,2026-05-03 11:04:54.308484,7,1586.2654940396005,406.66,1691,43,0,web,Germany,1,0,0,1,0,0,0
T9655,U197,2768.91,payment,gaming,2026-05-03 18:39:47.308484,2,2636.8824991504925,132.03,385,588,1,web,UK,1,0,0,1,1,0,0
T5861,U869,479.27,withdrawal,gaming,2026-05-03 14:08:40.308484,6,1874.5982832687384,1395.33,2653,776,2,mobile,Germany,1,0,0,0,1,0,0
T3945,U204,1278.24,payment,travel,2026-05-03 16:04:29.308484,6,1485.5780456895259,207.34,965,511,0,mobile,Germany,1,0,0,0,0,0,0
T4323,U134,1411.41,transfer,travel,2026-05-03 14:33:58.308484,7,1650.6928380283655,239.28,4712,949,0,web,Germany,1,0,0,0,0,0,0
T2181,U1049,3684.77,withdrawal,travel,2026-05-03 11:48:02.308484,8,2590.4827443812255,1094.29,585,900,2,mobile,Germany,1,0,0,1,0,0,0
T10184,U30,3046.43,transfer,grocery,2026-05-03 15:16:20.308484,4,2571.011287119976,475.42,979,802,0,mobile,India,0,0,0,0,0,0,0
T5494,U405,4145.33,withdrawal,electronics,2026-05-03 14:34:28.308484,3,2856.9529413258692,1288.38,1770,92,0,web,UAE,1,0,0,0,0,0,0
T3454,U163,848.38,withdrawal,gaming,2026-05-03 15:40:06.308484,11,519.9404183537314,328.44,2490,651,0,web,Germany,1,0,1,0,0,0,0
T1861,U1169,2477.97,payment,grocery,2026-05-03 11:29:56.308484,5,2729.670510953315,251.7,1093,1940,0,mobile,UAE,1,0,0,0,0,0,0
T11676,U388,2665.14,transfer,fashion,2026-05-03 18:17:19.308484,4,1524.9428284899357,1140.2,4496,812,0,mobile,UK,1,0,0,0,0,0,0
T4335,U460,891.79,withdrawal,grocery,2026-05-03 15:28:51.308484,10,657.6727815831738,234.12,4736,694,0,web,USA,1,0,1,0,0,0,0
T6462,U356,2108.78,withdrawal,electronics,2026-05-03 15:28:24.308484,3,2309.3285713018786,200.55,4732,115,3,web,UAE,1,0,0,1,0,0,0
T7379,U998,2231.43,transfer,gaming,2026-05-03 14:36:25.308484,4,2483.1587151422264,251.73,2292,797,1,web,USA,1,0,0,0,1,0,0
T9547,U33,1125.18,payment,travel,2026-05-03 16:17:42.308484,3,1793.4370405394163,668.26,3901,616,0,web,USA,1,0,0,0,1,0,0
T5640,U324,469.81,withdrawal,electronics,2026-05-03 14:05:55.308484,7,1697.9253268697319,1228.12,1998,1336,0,mobile,UAE,1,0,0,0,0,0,0
T8320,U675,580.59,transfer,electronics,2026-05-03 15:07:00.308484,7,819.8527432181311,239.26,509,1602,1,web,Germany,1,0,0,1,0,0,0
T5896,U965,1355.14,payment,electronics,2026-05-03 13:47:31.308484,1,1501.5666653442786,146.43,484,1413,0,mobile,USA,1,0,0,0,0,0,0
T10393,U800,815.92,withdrawal,grocery,2026-05-03 14:13:39.308484,10,1704.384296623173,888.46,773,1518,0,web,USA,1,0,1,1,0,0,0
T10810,U666,50.0,transfer,fashion,2026-05-03 21:12:07.308484,10,631.3099460359729,581.31,4365,265,0,web,USA,1,0,1,1,0,0,1
T295,U456,1947.92,payment,electronics,2026-05-03 12:19:51.308484,9,1396.7888135425337,551.13,7048,194,1,web,Germany,1,0,1,0,0,0,0
T7152,U362,189.61,transfer,electronics,2026-05-03 17:41:49.308484,11,2174.8568734125947,1985.25,3540,778,4,web,India,0,0,1,0,0,0,0
T7056,U1015,1693.28,withdrawal,electronics,2026-05-03 12:40:45.308484,2,2096.977156160987,403.7,846,1118,2,mobile,USA,1,0,0,0,0,0,0
T2694,U607,2167.79,payment,fashion,2026-05-03 12:38:08.308484,1,1867.3058270170893,300.48,4322,1573,2,web,UK,1,0,0,0,0,0,0
T10146,U232,1513.1,payment,gaming,2026-05-03 15:36:33.308484,11,1155.7693710479352,357.33,521,1023,0,web,UK,1,0,1,0,1,0,0
T11089,U971,1394.14,payment,electronics,2026-05-03 16:13:35.308484,9,1288.9852646045838,105.15,998,1241,1,mobile,UK,1,0,1,1,0,0,0
T8392,U31,738.43,payment,grocery,2026-05-03 18:40:31.308484,3,1162.7270727560783,424.3,1410,1159,0,mobile,India,0,0,0,0,0,0,0
T1162,U1195,2977.03,withdrawal,electronics,2026-05-03 10:46:36.308484,2,1740.7590087161914,1236.27,7506,732,2,mobile,USA,1,0,0,0,0,0,0
T3747,U233,422.62,transfer,travel,2026-05-03 13:57:24.308484,9,796.9610533109418,374.34,3195,1921,3,web,India,0,0,1,0,0,0,0
T5910,U383,159.98,transfer,fashion,2026-05-03 11:48:34.308484,2,945.3451420617619,785.37,745,953,0,mobile,UK,1,0,0,0,1,0,0
T347,U315,497.77,withdrawal,travel,2026-05-03 11:22:04.308484,4,1279.960050816046,782.19,3708,1498,1,web,India,0,0,0,1,0,0,0
T1507,U991,717.47,payment,fashion,2026-05-03 11:43:13.308484,4,946.519773309132,229.05,3708,1966,0,mobile,USA,1,0,0,0,0,0,0
T11959,U907,1115.06,withdrawal,grocery,2026-05-03 16:40:42.308484,7,2144.1353359940686,1029.08,3178,569,2,web,Germany,1,0,0,0,0,0,0
T11314,U653,1436.54,payment,grocery,2026-05-03 19:41:33.308484,2,2321.1386676324037,884.6,4836,802,1,mobile,UAE,1,0,0,0,0,0,0
T5794,U103,1280.26,withdrawal,gaming,2026-05-03 14:53:54.308484,10,1238.8898013911873,41.37,196,593,1,mobile,USA,1,0,1,0,0,0,0
T9333,U382,2086.74,payment,grocery,2026-05-03 20:38:10.308484,1,1586.69534954302,500.04,1489,1564,0,web,UAE,1,0,0,0,0,0,0
T9638,U241,747.75,withdrawal,electronics,2026-05-03 16:21:32.308484,1,1019.4067151483331,271.66,2383,954,1,mobile,India,0,0,0,0,1,0,0
T2010,U404,404.3,withdrawal,travel,2026-05-03 11:38:59.308484,11,919.5788034120229,515.28,2389,358,1,mobile,Germany,1,0,1,0,0,0,0
T4697,U79,1977.72,transfer,grocery,2026-05-03 14:06:05.308484,4,2579.22088468718,601.5,4713,767,1,web,Germany,1,0,0,1,1,0,0
T9323,U802,2319.94,transfer,gaming,2026-05-03 13:22:08.308484,10,2383.9806000955564,64.04,3794,1854,3,mobile,UAE,1,0,1,0,0,0,1
T36,U81,1137.73,withdrawal,electronics,2026-05-03 12:25:31.308484,6,957.1649927682683,180.57,8665,1261,1,web,UAE,1,0,0,0,0,0,0
T11188,U906,791.28,withdrawal,grocery,2026-05-03 22:56:56.308484,2,555.8323785838688,235.45,4280,100,0,mobile,Germany,1,0,0,0,0,0,0
T8101,U97,4477.77,withdrawal,gaming,2026-05-03 17:32:27.308484,9,2983.927872724036,1493.84,1046,381,0,mobile,UK,1,0,1,0,0,0,0
T2374,U540,858.04,transfer,electronics,2026-05-03 11:39:22.308484,8,1598.605703238719,740.57,2520,314,2,mobile,USA,1,0,0,1,0,0,0
T666,U490,50.0,withdrawal,gaming,2026-05-03 12:16:26.308484,10,1733.516751033488,1683.52,4504,1604,1,web,UK,1,0,1,0,1,0,0
